Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Australia,2013,3483.92,1106.07,32.09,27.5,1.74,18.23,6.94,17.19,Oceania
India,2019,7771.03,5422.78,25.21,29.3,3.35,17.21,12.42,9.9,Asia
Russia,2004,6991.3,3972.36,40.85,22.94,15.48,15.28,7.1,9.59,Europe
South Africa,2011,6628.04,6755.75,30.38,15.69,8.03,6.66,11.76,11.04,Africa
Brazil,2015,2434.27,2656.36,49.27,12.44,25.06,9.34,3.63,15.09,South America
Australia,2015,1781.66,4575.3,39.23,6.16,0.44,9.65,12.05,15.23,Oceania
China,2020,5514.82,6551.39,44.67,15.64,11.37,8.75,5.08,9.73,Asia
Japan,2006,7470.32,1076.56,23.98,27.86,10.12,12.73,10.81,7.0,Asia
Australia,2003,4675.72,6585.71,45.86,37.84,0.58,13.03,9.36,14.49,Oceania
Russia,2000,4787.1,4940.05,47.68,35.49,3.73,10.35,14.08,6.92,Europe
Russia,2004,2599.84,847.72,34.61,31.81,12.41,10.31,7.04,13.68,Europe
South Africa,2022,6271.2,2386.36,38.19,32.6,14.79,17.43,2.86,15.4,Africa
Brazil,2009,1902.83,5073.94,42.94,28.27,12.13,16.84,2.25,15.51,South America
India,2021,2927.59,844.51,25.25,14.11,15.93,9.62,12.75,16.3,Asia
South Africa,2004,3690.77,4242.33,35.08,36.75,17.85,18.71,8.82,18.09,Africa
South Africa,2003,4307.08,2682.83,31.96,28.48,0.3,19.29,12.08,12.5,Africa
Japan,2001,2318.07,4498.04,24.39,24.62,13.92,9.9,5.05,15.95,Asia
Canada,2019,1361.28,701.9,31.03,8.88,28.9,10.32,6.49,14.29,North America
Brazil,2009,5079.65,6152.14,22.05,20.65,15.57,12.58,2.39,7.8,South America
Germany,2018,2664.73,6825.03,20.77,21.11,20.33,19.12,14.5,5.39,Europe
South Africa,2000,4859.29,6794.59,24.05,35.26,9.36,18.14,10.68,9.27,Africa
Mexico,2023,1657.72,5347.7,48.89,24.13,23.22,6.54,14.13,11.65,North America
Canada,2004,4108.55,1258.57,36.49,18.31,23.19,10.89,5.45,14.26,North America
Germany,2012,4494.42,5404.54,48.97,39.19,15.64,13.3,9.95,17.75,Europe
Mexico,2003,888.68,562.27,32.97,8.88,29.28,12.55,10.82,7.94,North America
Brazil,2015,3024.53,546.02,29.35,19.79,3.77,7.91,6.13,6.88,South America
United States,2023,1508.11,2535.83,35.18,6.47,0.51,17.88,13.03,19.45,North America
Mexico,2015,975.31,3625.05,33.19,30.9,23.1,15.15,14.31,6.62,North America
China,2022,7924.7,5484.69,23.17,37.13,24.21,17.57,13.5,12.18,Asia
Canada,2001,2917.65,4909.75,39.22,14.8,3.61,17.88,11.61,13.78,North America
Mexico,2016,6574.06,3342.96,26.48,35.04,7.97,16.23,5.61,13.12,North America
France,2019,2409.8,2205.94,38.59,15.23,0.53,11.59,5.66,6.29,Europe
United States,2023,5611.27,6981.02,39.51,36.88,8.8,14.16,14.52,5.86,North America
Russia,2011,6201.71,3212.8,24.56,31.39,23.19,7.41,2.13,6.58,Europe
Russia,2017,4967.29,3379.15,21.84,33.17,15.54,15.1,11.31,13.78,Europe
China,2002,4036.82,1479.92,43.42,5.63,10.44,7.69,11.18,13.17,Asia
Mexico,2000,3588.81,5645.74,33.79,38.7,11.15,15.41,10.09,8.51,North America
Mexico,2000,3116.51,4978.3,21.74,30.43,0.04,8.44,14.87,14.57,North America
Japan,2018,7471.47,1857.08,49.85,15.67,8.99,6.76,6.05,17.3,Asia
Mexico,2010,6729.65,943.71,21.73,34.03,19.39,7.48,6.42,5.62,North America
Australia,2004,7737.7,4891.3,40.85,14.85,29.23,5.03,3.03,12.47,Oceania
India,2011,1432.23,4719.77,49.51,35.55,25.41,15.78,7.76,15.34,Asia
France,2002,5981.51,2203.51,27.18,8.94,0.71,15.99,5.39,8.78,Europe
Japan,2000,7537.55,6675.7,24.27,29.63,26.96,12.72,6.46,9.62,Asia
Brazil,2000,1859.25,1396.98,23.64,23.92,23.5,7.42,12.85,14.2,South America
Japan,2007,998.72,3253.41,29.1,8.38,23.41,6.25,14.16,18.47,Asia
Australia,2009,6058.4,6627.87,23.03,13.47,13.74,5.29,4.41,17.15,Oceania
Brazil,2010,4808.55,3170.2,40.76,5.43,11.94,7.49,6.84,13.75,South America
France,2011,6813.72,4614.27,21.87,21.41,9.09,18.36,14.07,15.95,Europe
Australia,2012,1548.29,3024.12,35.28,15.54,1.97,8.62,2.8,10.47,Oceania
Germany,2011,6464.5,2209.82,49.9,25.94,6.85,10.31,3.2,14.61,Europe
India,2013,2012.2,6894.25,44.42,15.4,7.4,6.58,4.12,11.99,Asia
France,2001,1727.42,3101.6,38.46,15.5,14.52,8.34,9.74,7.85,Europe
Mexico,2018,1731.99,6301.05,29.19,31.01,22.42,12.79,3.96,15.53,North America
